"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Hector Santiago","White Sox","7.98","4.93","1.62","1.88","20.1 %","12.4 %","7.7 %",".255","1.51",".282","78.3 %","122","138","137","5.17","5.94","-0.77","5.77","4.99","4026"
"Burch Smith","Royals","9.82","5.32","1.85","2.05","25.0 %","13.5 %","11.5 %",".235","1.45",".269","88.9 %","94","144","118","4.09","5.94","-1.85","4.98","4.22","12784"
"Jarlin Garcia","Marlins","6.00","3.80","1.58","2.00","16.6 %","10.5 %","6.1 %",".198","1.13",".180","83.8 %","100","154","123","3.80","5.94","-2.14","4.90","5.02","18282"
"Ryan Sherriff","Cardinals","4.76","3.18","1.50","1.59","11.1 %","7.4 %","3.7 %",".333","1.76",".350","72.9 %","166","151","128","6.35","5.95","0.41","5.08","4.42","12249"
"Tim Mayza","Blue Jays","9.95","2.84","3.50","2.84","23.3 %","6.7 %","16.7 %",".357","1.89",".421","97.8 %","98","140","117","4.26","5.96","-1.70","4.94","3.83","15042"
"Shawn Kelley","Nationals","12.38","2.25","5.50","3.38","33.3 %","6.1 %","27.3 %",".226","1.13",".235","83.3 %","142","153","89","5.63","6.00","-0.37","3.56","2.64","7773"
"Drew Hutchison","Phillies","7.45","5.12","1.45","1.86","19.1 %","13.1 %","6.0 %",".264","1.55",".288","82.7 %","119","147","121","4.66","6.02","-1.36","4.84","4.70","10732"
"Josh Osich","Giants","8.10","4.50","1.80","1.80","17.7 %","9.8 %","7.8 %",".386","2.20",".455","70.8 %","216","160","123","8.10","6.02","2.08","4.88","4.32","11528"
"Chase Anderson","Brewers","5.79","3.33","1.74","1.93","15.9 %","9.1 %","6.7 %",".212","1.13",".200","86.1 %","96","148","135","3.86","6.02","-2.17","5.36","5.16","6895"
"Homer Bailey","Reds","5.43","3.40","1.60","2.04","13.1 %","8.2 %","4.9 %",".291","1.60",".296","70.8 %","155","149","137","6.11","6.05","0.07","5.43","5.33","8362"
"Eric Lauer","Padres","7.71","4.71","1.64","2.14","16.8 %","10.3 %","6.5 %",".344","2.10",".384","64.9 %","218","156","127","8.14","6.07","2.07","5.07","5.08","19316"
"Kendrys Morales","Blue Jays","0.00","9.00","0.00","0.00","0.0 %","25.0 %","-25.0 %",".000","1.00",".000","100.0 %","0","144","259","0.00","6.12","-6.12","10.99","13.35","8610"
"Johnny Field","Rays","0.00","9.00","0.00","0.00","0.0 %","25.0 %","-25.0 %",".000","1.00",".000","100.0 %","0","148","259","0.00","6.12","-6.12","10.99","13.35","15048"
"Cody Reed","Reds","12.60","1.80","7.00","3.60","30.4 %","4.4 %","26.1 %",".227","1.20",".231","31.3 %","137","151","80","5.40","6.12","-0.72","3.20","2.77","15232"
"Matt Koch","Diamondbacks","4.78","2.15","2.22","2.15","13.1 %","5.9 %","7.2 %",".241","1.14",".223","83.8 %","104","154","122","4.06","6.12","-2.06","4.87","4.87","13420"
"Greg Holland","Cardinals","6.57","10.22","0.64","0.73","13.9 %","21.5 %","-7.7 %",".275","2.27",".317","63.9 %","191","156","184","7.30","6.12","1.18","7.31","6.94","7196"
"Luis Santos","Blue Jays","10.80","16.20","0.67","0.00","15.4 %","23.1 %","-7.7 %",".500","4.80",".625","25.0 %","749","144","213","32.40","6.12","26.28","9.05","7.19","15006"
"Neil Ramirez","Indians","11.57","0.00","3.00","3.86","25.0 %","0.0 %","25.0 %",".333","1.71",".375","76.9 %","176","144","63","7.71","6.12","1.59","2.64","2.55","7677"
"Chris Rusin","Rockies","7.65","4.50","1.70","2.25","19.3 %","11.4 %","8.0 %",".269","1.55",".286","66.7 %","149","146","114","6.75","6.17","0.58","4.55","4.29","9895"
"Kendall Graveman","Athletics","7.08","3.41","2.08","2.36","17.1 %","8.2 %","8.9 %",".306","1.66",".324","57.3 %","181","148","103","7.60","6.18","1.42","4.33","4.38","15514"
"Mike Mayers","Cardinals","5.06","1.69","3.00","2.53","12.5 %","4.2 %","8.3 %",".283","1.41",".270","100.0 %","66","158","125","2.53","6.22","-3.68","5.00","4.59","15451"
"Chris O'Grady","Marlins","10.29","5.14","2.00","2.57","25.0 %","12.5 %","12.5 %",".250","1.57",".278","73.2 %","169","162","128","6.43","6.27","0.16","5.10","4.35","13818"
"George Kontos","Pirates","3.38","2.41","1.40","1.93","8.3 %","6.0 %","2.4 %",".286","1.45",".273","76.9 %","125","161","136","4.82","6.28","-1.46","5.41","5.10","9486"
"Rich Hill","Dodgers","9.12","4.74","1.92","2.55","21.7 %","11.3 %","10.4 %",".294","1.74",".329","75.3 %","166","163","120","6.20","6.37","-0.16","4.78","4.66","4806"
"Zach McAllister","Indians","7.16","2.76","2.60","2.76","18.1 %","6.9 %","11.1 %",".284","1.47",".286","52.9 %","164","152","115","7.16","6.43","0.73","4.84","4.21","2895"
"Danny Duffy","Royals","7.94","4.41","1.80","2.47","18.7 %","10.4 %","8.3 %",".293","1.73",".314","70.6 %","158","156","127","6.88","6.46","0.43","5.37","4.99","3542"
"Tyler Cloyd","Marlins","6.08","4.73","1.29","2.03","12.9 %","10.0 %","2.9 %",".387","2.33",".420","57.6 %","284","168","157","10.80","6.50","4.30","6.25","5.43","8536"
"Pat Venditte","Dodgers","6.75","0.00","2.00","3.38","16.7 %","0.0 %","16.7 %",".250","1.13",".222","62.5 %","180","167","102","6.75","6.50","0.25","4.06","3.79","7108"
"Zac Reininger","Tigers","0.00","10.13","0.00","0.00","0.0 %","23.1 %","-23.1 %",".400","2.63",".400","57.1 %","232","151","196","10.13","6.50","3.63","8.32","9.31","15285"
"Carlos Torres","Nationals","8.38","2.79","3.00","2.79","22.0 %","7.3 %","14.6 %",".243","1.24",".240","68.2 %","165","167","96","6.52","6.54","-0.02","3.85","3.58","7624"
"Gerson Bautista","Mets","7.71","15.43","0.50","0.00","14.3 %","28.6 %","-14.3 %",".300","3.00",".375","71.4 %","207","166","218","7.71","6.55","1.16","8.64","8.27","19256"
"Chris Hatcher","Athletics","6.32","4.60","1.38","2.30","14.5 %","10.5 %","4.0 %",".324","1.91",".340","73.8 %","123","158","126","5.17","6.57","-1.40","5.32","4.93","3299"
"Emilio Pagan","Athletics","4.60","2.87","1.60","2.30","11.0 %","6.9 %","4.1 %",".313","1.66",".309","84.1 %","123","158","150","5.17","6.57","-1.40","6.36","5.43","14771"
"Dan Straily","Marlins","6.30","6.30","1.00","1.80","15.9 %","15.9 %","0.0 %",".205","1.45",".200","86.1 %","95","170","145","3.60","6.57","-2.97","5.76","6.07","9460"
"Junichi Tazawa","Marlins","10.80","5.85","1.85","2.70","24.2 %","13.1 %","11.1 %",".326","2.05",".393","61.4 %","237","170","128","9.00","6.57","2.43","5.11","4.39","4079"
"Jason Vargas","Mets","8.31","4.15","2.00","2.60","18.4 %","9.2 %","9.2 %",".359","2.08",".404","60.0 %","265","167","130","9.87","6.58","3.28","5.18","4.80","8044"
"Wander Suero","Nationals","4.26","5.68","0.75","1.42","10.7 %","14.3 %","-3.6 %",".174","1.26",".158","92.1 %","72","168","179","2.84","6.60","-3.75","7.11","6.57","15855"
"Jen-Ho Tseng","Cubs","13.50","0.00","3.00","4.50","30.0 %","0.0 %","30.0 %",".400","2.00",".500","38.5 %","343","166","43","13.50","6.62","6.88","1.75","2.16","15524"
"Hoby Milner","Phillies","7.71","5.79","1.33","1.93","16.0 %","12.0 %","4.0 %",".286","1.93",".313","69.8 %","197","165","153","7.71","6.77","0.95","6.07","5.00","13346"
"Adam Plutko","Indians","7.36","0.00","6.00","3.68","21.4 %","0.0 %","21.4 %",".214","0.82",".158","100.0 %","84","160","114","3.68","6.80","-3.12","4.81","4.48","15846"
"Akeel Morris","Angels","2.84","7.11","0.40","1.42","7.1 %","17.9 %","-10.7 %",".261","1.74",".250","83.3 %","103","166","139","4.26","6.91","-2.65","5.88","6.18","12185"
"Johnny Barbato","Tigers","2.45","2.45","1.00","2.45","6.7 %","6.7 %","0.0 %",".286","1.36",".250","55.6 %","169","161","154","7.36","6.94","0.42","6.50","6.44","11440"
"Carlos Ramirez","Blue Jays","11.57","19.29","0.60","0.00","23.1 %","38.5 %","-15.4 %",".125","2.57",".200","83.3 %","89","163","165","3.86","6.98","-3.12","6.98","9.32","11743"
"Nick Goody","Indians","9.26","3.86","2.40","3.09","20.7 %","8.6 %","12.1 %",".288","1.71",".306","77.9 %","159","166","128","6.94","7.07","-0.12","5.39","4.26","13685"
"Brandon Finnegan","Reds","6.10","6.53","0.93","2.18","13.6 %","14.6 %","-1.0 %",".307","2.03",".319","62.9 %","188","175","155","7.40","7.09","0.31","6.15","6.10","16208"
"Bryan Mitchell","Padres","4.20","6.86","0.61","1.77","9.6 %","15.7 %","-6.1 %",".309","2.02",".312","73.8 %","178","183","149","6.64","7.11","-0.47","5.91","6.43","11479"
"Cliff Pennington","Reds","9.00","18.00","0.50","0.00","16.7 %","33.3 %","-16.7 %",".250","3.00",".333","66.7 %","228","176","221","9.00","7.12","1.88","8.75","9.11","3395"
"Matt Strahm","Padres","3.86","9.00","0.43","1.29","9.1 %","21.2 %","-12.1 %",".192","1.71",".182","75.5 %","103","183","191","3.86","7.12","-3.27","7.59","7.65","13799"
"Wei-Yin Chen","Marlins","5.73","4.91","1.17","2.45","13.9 %","11.9 %","2.0 %",".273","1.64",".265","73.4 %","172","186","164","6.55","7.17","-0.62","6.50","6.02","13071"
"Chris Tillman","Orioles","4.39","5.74","0.76","2.03","9.5 %","12.4 %","-2.9 %",".356","2.21",".364","55.1 %","242","165","150","10.46","7.21","3.25","6.36","6.25","5279"
"Marc Rzepczynski","Mariners","12.79","8.53","1.50","2.84","23.1 %","15.4 %","7.7 %",".333","2.68",".409","56.3 %","207","174","105","8.53","7.23","1.30","4.40","4.31","6612"
"Carson Fulmer","White Sox","8.07","6.68","1.21","2.23","17.7 %","14.6 %","3.1 %",".274","1.89",".296","62.0 %","190","168","153","8.07","7.24","0.84","6.48","5.68","18311"
"David Hess","Orioles","5.91","1.69","3.50","3.38","14.6 %","4.2 %","10.4 %",".304","1.50",".286","76.9 %","156","166","128","6.75","7.25","-0.50","5.42","4.78","16130"
"Jacob Turner","Marlins","3.18","7.94","0.40","1.59","5.7 %","14.3 %","-8.6 %",".433","3.18",".444","48.2 %","417","191","222","15.88","7.36","8.52","8.79","6.93","10185"
"Luke Farrell","Cubs","14.29","1.59","9.00","4.76","32.1 %","3.6 %","28.6 %",".370","1.94",".467","44.1 %","202","185","54","7.94","7.36","0.58","2.19","2.22","15101"
"Hansel Robles","Mets","13.06","2.61","5.00","4.35","32.6 %","6.5 %","26.1 %",".302","1.55",".348","100.0 %","140","187","82","5.23","7.38","-2.15","3.29","2.72","11801"
"Anthony Swarzak","Mets","11.57","3.86","3.00","3.86","33.3 %","11.1 %","22.2 %",".125","0.86",".000","100.0 %","103","188","116","3.86","7.41","-3.55","4.62","3.51","7466"
"Luke Bard","Angels","10.03","3.86","2.60","3.09","24.5 %","9.4 %","15.1 %",".222","1.29",".214","88.7 %","130","178","123","5.40","7.41","-2.01","5.18","3.80","14288"
"Kevin Jepsen","Rangers","4.32","5.94","0.73","2.16","10.4 %","14.3 %","-3.9 %",".231","1.56",".208","65.4 %","133","172","141","5.94","7.44","-1.50","5.98","5.92","6475"
"Jacob Rhame","Mets","4.50","3.00","1.50","3.00","11.1 %","7.4 %","3.7 %",".280","1.50",".250","96.8 %","121","189","160","4.50","7.46","-2.96","6.37","5.66","15267"
"Phil Hughes","Twins","6.00","3.75","1.60","3.00","14.6 %","9.1 %","5.5 %",".286","1.58",".270","76.4 %","154","178","139","6.75","7.62","-0.87","5.86","5.38","7450"
"Chih-Wei Hu","Rays","6.75","3.38","2.00","3.38","16.7 %","8.3 %","8.3 %",".273","1.50",".250","38.5 %","243","184","151","10.13","7.62","2.50","6.40","5.78","16419"
"Edward Paredes","Dodgers","0.00","0.00","0.00","0.00","0.0 %","0.0 %","0.0 %",".000","0.00",".000","100.0 %","0","196","255","0.00","7.62","-7.62","10.06","7.29","4168"
"A.J. Cole","- - -","9.98","5.28","1.89","3.52","23.0 %","12.2 %","10.8 %",".308","1.89",".333","68.0 %","223","197","135","8.80","7.75","1.05","5.42","4.64","11467"
"P.J. Conlon","Mets","2.45","4.91","0.50","2.45","5.9 %","11.8 %","-5.9 %",".267","1.64",".231","65.2 %","197","197","207","7.36","7.76","-0.39","8.20","8.19","18213"
"Josh Smoker","Pirates","0.00","4.50","0.00","2.25","0.0 %","9.5 %","-9.5 %",".474","2.75",".444","72.9 %","234","202","199","9.00","7.87","1.13","7.87","7.39","10285"
"Kevin Quackenbush","Reds","7.00","6.00","1.17","3.00","15.6 %","13.3 %","2.2 %",".333","2.11",".345","54.1 %","279","195","144","11.00","7.90","3.10","5.73","5.32","12360"
"Martin Perez","Rangers","5.24","4.84","1.08","2.82","10.9 %","10.1 %","0.8 %",".390","2.37",".400","66.4 %","216","183","144","9.67","7.91","1.76","6.09","5.64","6902"
"Miguel Gonzalez","White Sox","3.65","4.38","0.83","2.92","7.6 %","9.1 %","-1.5 %",".400","2.43",".392","49.2 %","293","185","145","12.41","7.99","4.42","6.14","6.10","7024"
"Ryne Stanek","Rays","17.18","4.91","3.50","4.91","41.2 %","11.8 %","29.4 %",".200","1.36",".167","90.9 %","177","194","76","7.36","8.03","-0.67","3.16","2.49","15947"
"David Hale","- - -","7.88","4.50","1.75","3.38","18.0 %","10.3 %","7.7 %",".324","1.88",".333","84.8 %","155","187","120","6.75","8.12","-1.37","5.07","4.42","9756"
"Luke Sims","Braves","10.50","7.50","1.40","3.00","21.9 %","15.6 %","6.3 %",".308","2.17",".353","62.5 %","270","207","157","10.50","8.12","2.38","6.23","4.93","13470"
"Dovydas Neverauskas","Pirates","2.70","4.05","0.67","2.70","5.9 %","8.8 %","-2.9 %",".367","2.10",".346","57.4 %","281","211","183","10.80","8.22","2.58","7.25","6.37","11604"
"Juan Minaya","White Sox","13.50","24.30","0.56","0.00","22.7 %","40.9 %","-18.2 %",".231","3.60",".375","66.7 %","255","191","228","10.80","8.22","2.58","9.68","10.29","10341"
"Blaine Boyer","Royals","4.08","5.09","0.80","3.06","9.2 %","11.5 %","-2.3 %",".325","1.98",".302","30.1 %","270","201","134","11.72","8.33","3.39","5.66","5.43","2237"
"Ryan Carpenter","Tigers","4.15","3.12","1.33","3.12","9.5 %","7.1 %","2.4 %",".324","1.73",".300","62.5 %","191","195","137","8.31","8.43","-0.12","5.80","5.60","12699"
"Jimmy Yacabonis","Orioles","3.86","19.29","0.20","0.00","7.1 %","35.7 %","-28.6 %",".333","3.43",".375","50.0 %","356","198","237","15.43","8.69","6.73","10.09","11.07","15157"
"Buddy Baumann","- - -","11.57","7.71","1.50","3.86","20.0 %","13.3 %","6.7 %",".385","3.00",".444","-17.9 %","517","222","149","19.29","8.69","10.59","5.91","4.66","9309"
"Max Fried","Braves","10.50","4.50","2.33","4.50","26.9 %","11.5 %","15.4 %",".217","1.33",".154","100.0 %","154","225","105","6.00","8.79","-2.79","4.18","3.73","13743"
"Boone Logan","Brewers","8.10","10.80","0.75","2.70","15.0 %","20.0 %","-5.0 %",".375","3.00",".417","81.4 %","202","217","211","8.10","8.82","-0.72","8.33","6.51","5525"
"Justin Grimm","Royals","7.71","11.57","0.67","2.57","14.3 %","21.4 %","-7.1 %",".364","3.00",".400","22.0 %","503","216","184","21.86","8.98","12.88","7.82","6.85","11720"
"Josh Tomlin","Indians","5.23","1.74","3.00","4.35","12.2 %","4.1 %","8.1 %",".331","1.68",".292","76.5 %","179","214","143","7.84","9.12","-1.28","6.03","5.43","9388"
"Rex Brothers","Braves","0.00","18.00","0.00","0.00","0.0 %","100.0 %","-100.0 %",".000","2.00",".000","50.0 %","231","233","231","9.00","9.12","-0.12","9.12","","9794"
"Colten Brewer","Padres","13.50","27.00","0.50","0.00","11.1 %","22.2 %","-11.1 %",".571","9.00",".667","33.3 %","0","235","293","0.00","9.12","-9.12","11.56","6.65","12997"
"John Curtiss","Twins","13.50","27.00","0.50","0.00","16.7 %","33.3 %","-16.7 %",".500","6.00",".667","25.0 %","925","212","272","40.50","9.12","31.38","11.56","9.11","16128"
"D.J. Snelten","Giants","8.31","6.23","1.33","4.15","15.4 %","11.5 %","3.9 %",".391","2.77",".412","65.2 %","277","250","122","10.38","9.35","1.03","4.85","4.30","15949"
"Gabriel Moya","Twins","10.80","3.60","3.00","5.40","25.0 %","8.3 %","16.7 %",".273","1.60",".231","52.6 %","247","226","115","10.80","9.72","1.08","4.85","3.63","16348"
"Wilmer Font","- - -","8.47","2.65","3.20","5.29","18.8 %","5.9 %","12.9 %",".388","2.12",".389","54.6 %","322","243","115","12.71","9.77","2.94","4.70","3.94","5257"
"Liam Hendriks","Athletics","3.00","9.00","0.33","3.00","5.9 %","17.7 %","-11.8 %",".500","3.33",".500","81.4 %","214","234","180","9.00","9.79","-0.79","7.62","7.28","3548"
"Kyle McGrath","Padres","9.00","6.75","1.33","4.50","22.2 %","16.7 %","5.6 %",".200","1.50",".111","100.0 %","121","255","146","4.50","9.87","-5.37","5.81","5.17","16793"
"Jose Valdez","Giants","7.20","1.80","4.00","5.40","16.7 %","4.2 %","12.5 %",".348","1.80",".313","41.7 %","336","265","102","12.60","9.92","2.68","4.07","3.88","14470"
"Nestor Cortes","Orioles","5.79","7.71","0.75","3.86","11.5 %","15.4 %","-3.9 %",".455","3.00",".471","89.3 %","178","227","162","7.71","9.98","-2.27","6.84","6.05","17874"
"Alexi Ogando","Indians","9.00","27.00","0.33","0.00","12.5 %","37.5 %","-25.0 %",".400","5.00",".500","60.0 %","411","238","276","18.00","10.12","7.88","11.75","10.78","10261"
"Jeff Beliveau","Indians","5.40","10.80","0.50","2.70","10.0 %","20.0 %","-10.0 %",".333","2.70",".333","69.8 %","247","242","209","10.80","10.32","0.48","8.86","7.12","8504"
"JC Ramirez","Angels","5.40","9.45","0.57","4.05","12.1 %","21.2 %","-9.1 %",".269","2.10",".211","61.2 %","228","262","166","9.45","10.92","-1.47","7.02","7.54","8302"
"Pedro Florimon","Phillies","0.00","4.50","0.00","4.50","0.0 %","12.5 %","-12.5 %",".143","1.00",".000","0.0 %","230","273","199","9.00","11.12","-2.12","7.87","8.19","8385"
"Felix Pena","Angels","6.75","0.00","2.00","6.75","15.4 %","0.0 %","15.4 %",".385","1.88",".333","90.9 %","245","273","125","10.13","11.37","-1.25","5.28","3.95","13403"
"Erasmo Ramirez","Mariners","5.59","0.93","6.00","6.52","13.3 %","2.2 %","11.1 %",".326","1.55",".233","80.7 %","249","285","127","10.24","11.92","-1.67","5.36","4.73","10314"
"Tyler Duffey","Twins","6.75","1.69","4.00","6.75","13.8 %","3.5 %","10.3 %",".393","2.25",".350","46.9 %","308","277","131","13.50","11.93","1.57","5.53","4.44","13758"
"Austin Adams","Nationals","0.00","27.00","0.00","0.00","0.0 %","42.9 %","-42.9 %",".250","4.00",".250","100.0 %","0","311","349","0.00","12.12","-12.12","13.75","14.17","13801"
"Tyler Kinley","Twins","10.80","10.80","1.00","5.40","17.4 %","17.4 %","0.0 %",".474","3.90",".538","39.2 %","555","282","160","24.30","12.12","12.18","6.76","5.53","18297"
"Yovani Gallardo","Reds","7.71","15.43","0.50","3.86","10.5 %","21.1 %","-10.5 %",".533","5.14",".583","37.7 %","782","301","254","30.86","12.12","18.73","10.03","7.43","8173"
"Ryan Weber","Rays","0.00","27.00","0.00","0.00","0.0 %","25.0 %","-25.0 %",".333","6.00",".333","-50.0 %","648","292","399","27.00","12.12","14.88","16.99","9.12","10160"
"James Hoyt","Astros","0.00","27.00","0.00","0.00","0.0 %","33.3 %","-33.3 %",".500","6.00",".500","100.0 %","0","286","285","0.00","12.12","-12.12","12.12","8.95","14605"
"Brandon Maurer","Royals","6.23","6.23","1.00","6.23","13.0 %","13.0 %","0.0 %",".400","2.54",".357","73.5 %","287","308","161","12.46","12.81","-0.35","6.81","5.72","4878"
"Tanner Rainey","Reds","9.00","22.50","0.40","4.50","14.3 %","35.7 %","-21.4 %",".333","4.00",".333","15.2 %","798","376","301","31.50","15.12","16.38","11.87","10.14","17610"
"Zach Neal","Dodgers","0.00","0.00","0.00","9.00","0.0 %","0.0 %","0.0 %",".400","2.00",".250","100.0 %","240","417","202","9.00","16.12","-7.12","7.99","7.68","11294"
"Chase Whitley","Braves","9.00","9.00","1.00","9.00","16.7 %","16.7 %","0.0 %",".400","3.00",".333","62.5 %","462","439","227","18.00","17.12","0.88","8.99","6.45","10982"
"J.J. Hoover","Brewers","0.00","13.50","0.00","6.75","0.0 %","20.0 %","-20.0 %",".500","4.50",".429","65.2 %","506","429","255","20.25","17.37","2.88","10.06","8.53","9037"
"Taylor Motter","Mariners","9.00","9.00","1.00","9.00","16.7 %","16.7 %","0.0 %",".250","2.00",".000","100.0 %","218","480","244","9.00","20.12","-11.12","10.37","6.45","12399"
"Ryan LaMarre","Twins","0.00","0.00","0.00","13.50","0.0 %","0.0 %","0.0 %",".333","1.50",".000","100.0 %","308","524","189","13.50","22.62","-9.12","7.99","7.29","10700"
"Parker Bridwell","Angels","0.00","0.00","0.00","16.20","0.0 %","0.0 %","0.0 %",".583","4.20",".444","35.7 %","783","633","166","32.40","26.52","5.88","7.02","5.72","11502"
"Zack Weiss","Reds","0.00","18.00","0.00","18.00","0.0 %","50.0 %","-50.0 %","1.000","4.00",".000","0.0 %","912","875","272","36.00","35.12","0.88","10.75","","15444"
